1;1;1;2;3;5;5;2025-10-08 09:06
2;2;2;0;0;0;0;2025-10-08 09:17
3;3;3;8;0;20;30;2025-10-08 15:00
4;1;4;0;3;0;20;2025-10-12 13:59
5;1;6;0;0;5;15;2025-10-12 14:04
6;1;8;10;3;5;5;2025-10-12 15:46
7;4;9;8;9;15;35;2025-10-12 15:49
8;1;12;8;3;10;35;2025-10-12 16:06
9;1;13;0;0;0;0;2025-10-12 16:07
10;4;14;28;6;5;5;2025-10-12 16:25
11;4;16;4;36;20;5;2025-10-12 16:49
12;4;17;0;12;10;5;2025-10-12 16:51
13;1;18;0;12;10;5;2025-10-12 16:51
14;6;19;2;3;0;40;2025-10-12 16:57
15;1;20;6;12;20;25;2025-10-12 17:18
16;1;21;10;3;10;20;2025-10-12 17:19
17;1;23;14;9;20;40;2025-10-12 20:03
18;1;24;8;21;20;30;2025-10-12 20:04
19;1;25;0;3;15;20;2025-10-12 20:05
20;1;26;10;3;20;35;2025-10-12 20:06
21;6;27;4;6;10;10;2025-10-12 20:15
22;1;30;0;0;0;0;2025-10-12 21:41
23;1;31;4;18;10;25;2025-10-12 21:57
24;1;32;12;12;25;10;2025-10-12 22:20
25;1;33;6;15;10;25;2025-10-13 00:33
26;8;34;0;3;10;5;2025-10-13 00:35
27;1;35;16;15;20;35;2025-10-13 00:46
28;1;36;8;12;25;50;2025-10-13 00:47
29;1;37;2;9;10;10;2025-10-13 01:06
30;1;38;8;12;10;25;2025-10-13 01:07
31;1;39;14;9;10;40;2025-10-13 01:08
32;1;41;10;9;20;45;2025-10-13 12:41
33;1;43;0;0;5;0;2025-10-13 15:05
34;1;44;4;3;5;5;2025-10-13 15:06
35;1;45;4;21;15;35;2025-10-13 15:07
36;1;46;12;6;25;30;2025-10-13 15:08
37;1;51;6;18;15;15;2025-10-13 16:53
38;1;54;6;6;5;25;2025-10-13 20:28
39;1;55;12;27;5;50;2025-10-15 00:39
40;1;56;16;0;40;25;2025-10-15 01:15
41;1;59;6;24;15;15;2025-10-15 01:58
42;1;61;16;9;10;30;2025-10-15 02:28
43;1;65;4;21;25;30;2025-10-15 03:09
44;1;69;12;12;20;30;2025-10-15 03:27
45;1;81;0;0;0;0;2025-10-15 14:36
46;1;85;0;0;0;0;2025-10-15 14:52
47;1;86;14;12;35;45;2025-10-15 14:55
48;2;87;12;9;5;20;2025-10-15 18:43
49;2;88;4;30;15;30;2025-10-15 18:45
